UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:15:58, 316, 54, 98312,  ,  , 4.85, 61.50,  ,  ,  , 
19:15:59, 316, 54, 98311,  ,  , 4.83, 61.60,  ,  ,  , 
19:16:00, 316, 54, 98310,  ,  , 4.84, 61.65,  ,  ,  , 
19:16:01, 316, 54, 98310,  ,  , 4.87, 61.75,  ,  ,  , 
19:16:02, 317, 55, 98307,  ,  , 4.89, 61.80,  ,  ,  , 
19:16:03, 317, 55, 98304,  ,  , 4.93, 61.90,  ,  ,  , 
19:16:04, 317, 55, 98302,  ,  , 4.97, 62.00,  ,  ,  , 
19:16:05, 317, 55, 98302,  ,  , 4.99, 62.05,  ,  ,  , 
19:16:06, 317, 55, 98303,  ,  , 5.01, 62.10,  ,  ,  , 
19:16:07, 317, 55, 98304,  ,  , 5.04, 62.15,  ,  ,  , 
19:16:08, 318, 56, 98292,  ,  , 5.07, 62.15,  ,  ,  , 
19:16:09, 319, 57, 98280,  ,  , 5.08, 62.20,  ,  ,  , 
19:16:10, 320, 58, 98268,  ,  , 5.08, 62.20,  ,  ,  , 
19:16:11, 319, 57, 98282,  ,  , 5.07, 62.20,  ,  ,  , 
19:16:12, 318, 56, 98296,  ,  , 5.07, 62.20,  ,  ,  , 
19:16:13, 316, 54, 98310,  ,  , 5.04, 62.15,  ,  ,  , 
19:16:14, 317, 55, 98309,  ,  , 5.02, 62.15,  ,  ,  , 
19:16:15, 317, 55, 98308,  ,  , 5.00, 62.15,  ,  ,  , 
19:16:16, 317, 55, 98308,  ,  , 4.97, 62.10,  ,  ,  , 
19:16:17, 317, 55, 98307,  ,  , 4.94, 62.10,  ,  ,  , 
19:16:18, 317, 55, 98306,  ,  , 4.90, 62.10,  ,  ,  , 
19:16:19, 317, 55, 98306,  ,  , 4.85, 62.10,  ,  ,  , 
19:16:20, 317, 55, 98303,  ,  , 4.81, 62.10,  ,  ,  , 
19:16:21, 317, 55, 98301,  ,  , 4.78, 62.10,  ,  ,  , 
19:16:22, 317, 55, 98300,  ,  , 4.74, 62.05, 10.2,  ,  , 
19:16:23, 317, 55, 98302,  ,  , 4.69, 62.00,  ,  ,  , 
19:16:24, 317, 55, 98304,  ,  , 4.65, 62.00,  ,  ,  , 
19:16:25, 317, 55, 98306,  ,  , 4.59, 61.95,  ,  ,  , 
19:16:26, 317, 55, 98305,  ,  , 4.54, 61.85,  ,  ,  , 
19:16:27, 317, 55, 98304,  ,  , 4.51, 61.80,  ,  ,  , 
19:16:28, 317, 55, 98304,  ,  , 4.45, 61.75,  ,  ,  , 
19:16:29, 317, 55, 98304,  ,  , 4.40, 61.70,  ,  ,  , 
19:16:30, 317, 55, 98304,  ,  , 4.36, 61.70,  ,  ,  , 
19:16:31, 317, 55, 98304,  ,  , 4.34, 61.75,  ,  ,  , 
19:16:32, 317, 55, 98303,  ,  , 4.31, 61.80,  ,  ,  , 
19:16:33, 317, 55, 98302,  ,  , 4.33, 61.95,  ,  ,  , 
19:16:34, 317, 55, 98302,  ,  , 4.35, 62.15,  ,  ,  , 
19:16:35, 317, 55, 98302,  ,  , 4.38, 62.35,  ,  ,  , 
19:16:36, 317, 55, 98303,  ,  , 4.41, 62.55,  ,  ,  , 
19:16:37, 317, 55, 98304,  ,  , 4.45, 62.75,  ,  ,  , 
19:16:38, 317, 55, 98304,  ,  , 4.51, 62.85,  ,  ,  , 
19:16:39, 317, 55, 98304,  ,  , 4.54, 63.05,  ,  ,  , 
19:16:40, 317, 55, 98304,  ,  , 4.55, 63.15,  ,  ,  , 
19:16:41, 317, 55, 98304,  ,  , 4.57, 63.25,  ,  ,  , 
19:16:42, 317, 55, 98305,  ,  , 4.57, 63.25,  ,  ,  , 
19:16:43, 317, 55, 98306,  ,  , 4.57, 63.25,  ,  ,  , 
19:16:44, 317, 55, 98303,  ,  , 4.57, 63.25,  ,  ,  , 
19:16:45, 317, 55, 98300,  ,  , 4.57, 63.20,  ,  ,  , 
19:16:46, 317, 55, 98298,  ,  , 4.55, 63.15,  ,  ,  , 
19:16:47, 317, 55, 98300,  ,  , 4.55, 63.15,  ,  ,  , 
19:16:48, 317, 55, 98302,  ,  , 4.54, 63.10,  ,  ,  , 
19:16:49, 317, 55, 98304,  ,  , 4.53, 63.05, 10.2,  ,  , 
