UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:30:53, 317, 55, 98308, 0.20, 301.00, 3.78, 66.10,  , 43.087283, -89.424163, 0
19:30:56, 317, 55, 98302, 0.20, 233.90, 3.83, 66.45,  , 43.087312, -89.424172, 0
19:30:57, 317, 55, 98302, 1.00, 92.60, 3.86, 66.55,  , 43.087302, -89.424180, 0
19:30:59, 317, 55, 98300, 0.30, 92.60, 3.91, 66.85,  ,  ,  , 0
19:31:00, 317, 55, 98300, 0.60, 311.30, 3.93, 66.95,  , 43.087273, -89.423863, 0
19:31:02, 317, 55, 98300, 0.35, 97.80, 3.97, 67.05,  ,  ,  , 0
19:31:03, 317, 55, 98300, 0.55, 126.90, 4.00, 67.05,  , 43.087285, -89.423782, 0
19:31:05, 317, 55, 98297, 0.45, 199.70, 4.05, 67.10,  ,  ,  , 0
19:31:06, 318, 56, 98296, 0.45, 189.60, 4.10, 67.05,  , 43.087308, -89.424218, 0.1
19:31:08, 317, 55, 98300, 0.40, 152.50, 4.19, 67.05,  ,  ,  , 0
19:31:09, 317, 55, 98302, 0.50, 129.90, 4.22, 67.10,  , 43.087292, -89.424208, 0
19:31:10, 317, 55, 98302, 0.55, 125.40, 4.24, 67.10,  ,  ,  , 0
19:31:11, 317, 55, 98302, 0.60, 128.50, 4.26, 67.10,  ,  ,  , 0
19:31:12, 317, 55, 98302, 0.60, 139.30, 4.31, 67.05, 13.00, 43.087273, -89.424203, 0
19:31:13, 317, 55, 98300, 0.60, 146.50, 4.37, 67.05,  ,  ,  , 0
19:31:14, 317, 55, 98299, 0.60, 151.60, 4.43, 67.10,  ,  ,  , 0
19:31:15, 317, 55, 98298, 0.45, 156.40, 4.53, 67.15,  , 43.087255, -89.424200, 0
19:31:16, 317, 55, 98298, 0.45, 156.80, 4.65, 67.15,  ,  ,  , 0
19:31:17, 317, 55, 98299, 0.45, 153.50, 4.79, 67.30,  ,  ,  , 0
19:31:18, 317, 55, 98300, 0.45, 154.40, 4.88, 67.45,  , 43.087235, -89.424203, 0
19:31:19, 317, 55, 98299, 0.50, 149.20, 4.96, 67.50,  ,  ,  , 0
19:31:20, 317, 55, 98298, 0.50, 142.10, 4.99, 67.45,  ,  ,  , 0
19:31:21, 317, 55, 98298, 0.35, 136.80, 5.00, 67.25,  , 43.087225, -89.424197, 0
19:31:22, 317, 55, 98297, 0.35, 128.60, 5.00, 66.90,  ,  ,  , 0
19:31:23, 318, 56, 98296, 0.35, 104.40, 4.99, 66.65,  ,  ,  , 0
19:31:24, 318, 56, 98296, 0.55, 121.00, 5.01, 66.40,  , 43.087218, -89.424185, 0
19:31:25, 317, 55, 98298, 0.70, 124.40, 5.04, 66.60,  ,  ,  , 0
19:31:26, 317, 55, 98300, 0.60, 130.40, 5.05, 66.80,  ,  ,  , 0
19:31:27, 317, 55, 98302, 0.40, 131.10, 5.05, 66.80,  , 43.087205, -89.424173, 0
19:31:28, 317, 55, 98302, 0.40, 139.90, 5.08, 66.65,  ,  ,  , 0
19:31:29, 317, 55, 98303, 0.65, 148.20, 5.10, 66.45,  ,  ,  , 0
19:31:30, 317, 55, 98304, 0.65, 151.30, 5.13, 66.25,  , 43.087185, -89.424158, 0
19:31:31, 317, 55, 98303, 0.65, 146.80, 5.14, 66.10,  ,  ,  , 0
19:31:32, 317, 55, 98302, 0.65, 147.70, 5.15, 65.90,  ,  ,  , 0
19:31:33, 317, 55, 98302, 0.65, 121.70, 5.15, 65.70,  , 43.087175, -89.424128, 0
19:31:34, 317, 55, 98302, 0.60, 119.50, 5.16, 65.55,  ,  ,  , 0
19:31:35, 317, 55, 98303, 0.65, 121.20, 5.16, 65.45,  ,  ,  , 0
19:31:36, 317, 55, 98304, 0.85, 120.00, 5.16, 65.30,  , 43.087162, -89.424100, 0
19:31:38, 317, 55, 98306, 0.85, 119.40, 5.17, 64.95,  ,  ,  , -0.1
19:31:39, 317, 55, 98308, 0.85, 125.40, 5.17, 64.80, 13.50, 43.087140, -89.424078, -0.1
19:31:40, 317, 55, 98308, 0.80, 119.00, 5.19, 64.65,  ,  ,  , 0
19:31:41, 316, 54, 98309, 0.65, 119.20, 5.23, 64.50,  ,  ,  , 0
19:31:42, 316, 54, 98310, 0.45, 124.80, 5.24, 64.35,  , 43.087130, -89.424063, 0
19:31:43, 317, 55, 98308, 0.20, 124.80, 5.24, 64.25,  ,  ,  , 0
19:31:44, 317, 55, 98307, 0.20, 124.80, 5.25, 64.05,  ,  ,  , 0
19:31:45, 317, 55, 98306, 0.05, 124.80, 5.27, 64.00,  , 43.087127, -89.424060, 0
19:31:46, 317, 55, 98305, 0.15, 124.80, 5.30, 64.00,  ,  ,  , 0
19:31:47, 317, 55, 98304, 0.15, 124.80, 5.29, 63.90,  ,  ,  , 0
19:31:48, 317, 55, 98304, 0.15, 124.80, 5.23, 63.80,  , 43.087122, -89.424063, 0
19:31:49, 317, 55, 98305, 0.10, 124.80, 5.15, 63.60,  ,  ,  , 0
19:31:50, 317, 55, 98307, 0.05, 124.80, 5.09, 63.45,  ,  ,  , 0
19:31:51, 316, 54, 98310, 0.05, 124.80, 5.01, 63.30,  , 43.087120, -89.424063, 0
19:31:53, 317, 55, 98308, 0.00, 124.80, 4.86, 63.15,  ,  ,  , 0
