UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:36:52, 330, 53, 98326,  ,  , 7.35, 58.00,  ,  ,  , 
19:36:53, 330, 53, 98327,  ,  , 7.18, 58.35,  ,  ,  , 
19:36:54, 330, 53, 98328,  ,  , 7.08, 58.20,  ,  ,  , 
19:36:55, 330, 53, 98330,  ,  , 6.94, 58.00,  ,  ,  , 
19:36:56, 330, 53, 98329,  ,  , 6.79, 57.80,  ,  ,  , 
19:36:57, 330, 53, 98328,  ,  , 6.64, 57.70,  ,  ,  , 
19:36:58, 330, 53, 98328,  ,  , 6.51, 57.60,  ,  ,  , 
19:36:59, 330, 53, 98327,  ,  , 6.35, 57.55,  ,  ,  , 
19:37:00, 330, 53, 98326,  ,  , 6.26, 57.50,  ,  ,  , 
19:37:01, 330, 53, 98326,  ,  , 6.11, 57.50,  ,  ,  , 
19:37:02, 330, 53, 98328,  ,  , 5.96, 57.55,  ,  ,  , 
19:37:03, 330, 53, 98330,  ,  , 5.86, 57.75,  ,  ,  , 
19:37:04, 329, 52, 98332,  ,  , 5.74, 57.95,  ,  ,  , 
19:37:05, 330, 53, 98324,  ,  , 5.68, 58.25,  ,  ,  , 
19:37:06, 331, 54, 98316,  ,  , 5.64, 58.55,  ,  ,  , 
19:37:07, 331, 54, 98308,  ,  , 5.67, 58.95,  ,  ,  , 
19:37:08, 331, 54, 98310,  ,  , 5.71, 59.40,  ,  ,  , 
19:37:09, 331, 54, 98312,  ,  , 5.74, 59.95,  ,  ,  , 
19:37:10, 331, 54, 98314,  ,  , 5.78, 60.45,  ,  ,  , 
19:37:11, 331, 54, 98310,  ,  , 5.77, 60.80,  ,  ,  , 
19:37:12, 331, 54, 98307,  ,  , 5.79, 61.05,  ,  ,  , 
19:37:13, 332, 55, 98304,  ,  , 5.79, 61.20,  ,  ,  , 
19:37:14, 331, 54, 98306,  ,  , 5.79, 61.35,  ,  ,  , 
19:37:15, 331, 54, 98309,  ,  , 5.79, 61.40,  ,  ,  , 
19:37:16, 331, 54, 98312,  ,  , 5.81, 61.45, 10.8,  ,  , 
19:37:17, 331, 54, 98312,  ,  , 5.79, 61.45,  ,  ,  , 
19:37:18, 331, 54, 98312,  ,  , 5.77, 61.45,  ,  ,  , 
19:37:19, 331, 54, 98312,  ,  , 5.81, 61.45,  ,  ,  , 
19:37:20, 331, 54, 98312,  ,  , 5.86, 61.50,  ,  ,  , 
19:37:21, 331, 54, 98313,  ,  , 5.93, 61.70,  ,  ,  , 
19:37:22, 331, 54, 98314,  ,  , 6.01, 61.95,  ,  ,  , 
19:37:23, 331, 54, 98311,  ,  , 6.11, 62.10,  ,  ,  , 
19:37:24, 331, 54, 98308,  ,  , 6.20, 62.30,  ,  ,  , 
19:37:25, 332, 55, 98306,  ,  , 6.20, 62.45,  ,  ,  , 
19:37:26, 331, 54, 98312,  ,  , 6.18, 62.45,  ,  ,  , 
19:37:27, 331, 54, 98318,  ,  , 6.12, 62.30,  ,  ,  , 
19:37:28, 330, 53, 98324,  ,  , 6.08, 62.20,  ,  ,  , 
19:37:29, 330, 53, 98321,  ,  , 6.05, 62.10,  ,  ,  , 
19:37:30, 330, 53, 98319,  ,  , 6.03, 62.05,  ,  ,  , 
19:37:31, 331, 54, 98318,  ,  , 5.99, 61.95,  ,  ,  , 
19:37:32, 331, 54, 98315,  ,  , 5.94, 61.85,  ,  ,  , 
19:37:33, 331, 54, 98312,  ,  , 5.87, 61.75,  ,  ,  , 
19:37:34, 331, 54, 98310,  ,  , 5.82, 61.65,  ,  ,  , 
19:37:35, 331, 54, 98310,  ,  , 5.76, 61.60,  ,  ,  , 
19:37:36, 331, 54, 98311,  ,  , 5.70, 61.55,  ,  ,  , 
19:37:37, 331, 54, 98312,  ,  , 5.67, 61.55,  ,  ,  , 
19:37:39, 331, 54, 98312,  ,  , 5.61, 61.55,  ,  ,  , 
19:37:40, 331, 54, 98313,  ,  , 5.59, 61.60,  ,  ,  , 
