Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
252, 98328, 0.10, 27.60, 5.27, 65.05
316, 98327, 0.05, 27.60, 5.14, 65.70
316, 98318, 0.00, 22.40, 5.17, 65.80
317, 98314, 0.15, 22.40, 4.92, 65.20
317, 98313, 0.05, 23.00, 4.61, 66.20
317, 98310, 0.05, 23.00, 4.63, 66.25
317, 98308, 0.20, 23.00, 4.63, 66.30
318, 98294, 1.95, 176.00, 4.64, 66.60
320, 98279, 1.55, 189.20, 4.55, 66.45
321, 98264, 2.10, 181.20, 4.44, 66.30
322, 98253, 3.25, 183.60, 4.36, 66.20
323, 98243, 3.25, 191.50, 4.29, 66.15
323, 98234, 3.40, 205.80, 4.23, 66.10
326, 98198, 2.15, 191.60, 4.14, 66.10
328, 98180, 3.20, 216.60, 4.14, 66.10
329, 98164, 2.85, 212.00, 4.15, 66.10
330, 98149, 2.45, 197.70, 4.19, 66.10
332, 98134, 2.65, 207.40, 4.23, 66.05
333, 98118, 3.00, 209.10, 4.27, 66.00
334, 98103, 2.95, 196.20, 4.27, 65.95
336, 98088, 1.90, 201.10, 4.30, 65.90
337, 98075, 2.45, 214.30, 4.31, 65.85
338, 98062, 3.20, 192.60, 4.33, 65.80
339, 98050, 2.70, 193.70, 4.35, 65.75
340, 98037, 3.00, 187.10, 4.36, 65.65
341, 98025, 2.30, 190.60, 4.34, 65.65
342, 98014, 2.70, 189.80, 4.31, 65.55
343, 98001, 2.60, 193.00, 4.30, 65.50
344, 97989, 3.30, 196.60, 4.31, 65.45
345, 97978, 3.25, 188.70, 4.33, 65.40
346, 97967, 2.25, 183.60, 4.36, 65.35
346, 97957, 3.05, 192.70, 4.38, 65.30
347, 97948, 3.35, 206.80, 4.42, 65.20
348, 97937, 3.10, 186.70, 4.45, 65.20
349, 97926, 3.35, 185.20, 4.51, 65.10
350, 97916, 3.10, 201.70, 4.56, 64.95
351, 97903, 3.30, 204.90, 4.61, 64.85
352, 97891, 3.60, 182.60, 4.67, 64.70
353, 97880, 3.55, 181.50, 4.69, 64.55
354, 97866, 2.85, 189.40, 4.75, 64.40
355, 97853, 2.50, 193.40, 4.81, 64.25
356, 97840, 3.40, 191.70, 4.84, 64.10
357, 97830, 3.15, 190.70, 4.87, 63.95
358, 97821, 2.20, 178.90, 4.90, 63.80
359, 97812, 2.65, 205.00, 4.95, 63.60
361, 97785, 3.10, 197.10, 4.98, 63.35
362, 97772, 3.10, 185.30, 5.00, 63.15
363, 97755, 3.65, 200.00, 5.02, 63.05
365, 97738, 3.20, 205.20, 5.03, 62.85
366, 97722, 3.35, 181.20, 5.05, 62.65
367, 97710, 3.45, 179.40, 5.07, 62.50
368, 97699, 2.55, 182.50, 5.08, 62.35
369, 97688, 2.75, 190.20, 5.09, 62.25
370, 97677, 3.45, 198.20, 5.10, 62.15
371, 97665, 3.45, 199.20, 5.10, 62.00
372, 97654, 2.60, 187.80, 5.09, 61.85
377, 97594, 3.60, 193.90, 5.09, 61.35
378, 97584, 3.00, 204.60, 5.09, 61.25
379, 97572, 2.50, 202.10, 5.08, 61.20
380, 97561, 3.00, 204.70, 5.09, 61.15
380, 97550, 3.55, 212.10, 5.09, 61.05
381, 97537, 2.85, 203.80, 5.08, 61.00
382, 97525, 2.90, 188.40, 5.08, 60.95
