UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:49:07, 316, 53, 98328, 0.25, 18.00, 5.17, 65.85,  , 43.087792, -89.423798, 
19:49:10, 316, 53, 98318, 0.00, 22.40, 5.17, 65.80,  , 43.087795, -89.423797, 0.1
19:49:12, 316, 53, 98327, 0.05, 22.40, 5.13, 65.55,  ,  ,  , 0
19:49:13, 315, 52, 98332, 0.05, 22.40, 5.10, 65.45,  , 43.087793, -89.423798, -0.1
19:49:14, 316, 53, 98325, 0.00, 22.40, 5.03, 65.40,  ,  ,  , -0.1
19:49:15, 316, 53, 98319, 0.15, 22.40, 4.98, 65.30,  ,  ,  , 0
19:49:16, 317, 54, 98314, 0.15, 22.40, 4.92, 65.20,  , 43.087788, -89.423803, 0.1
19:49:17, 317, 54, 98315, 0.20, 22.40, 4.84, 65.15,  ,  ,  , 0.1
19:49:18, 317, 54, 98316, 0.20, 26.50, 4.80, 65.15,  ,  ,  , 0.1
19:49:19, 316, 53, 98318, 0.05, 26.50, 4.72, 65.05,  , 43.087787, -89.423807, 0.1
19:49:20, 316, 53, 98318, 0.05, 26.50, 4.68, 65.05,  ,  ,  , 0.1
19:49:21, 316, 53, 98319, 0.05, 26.50, 4.63, 65.10,  ,  ,  , 0.1
19:49:22, 316, 53, 98320, 0.10, 26.50, 4.59, 65.10,  , 43.087787, -89.423805, 0
19:49:23, 316, 53, 98323, 0.10, 23.00, 4.58, 65.10,  ,  ,  , 0
19:49:24, 316, 53, 98326, 0.10, 23.00, 4.55, 65.15,  ,  ,  , 0
19:49:25, 315, 52, 98330, 0.10, 23.00, 4.52, 65.25, 16.25, 43.087788, -89.423808, 0
19:49:26, 316, 53, 98327, 0.05, 23.00, 4.51, 65.30,  ,  ,  , 0
19:49:27, 316, 53, 98325, 0.05, 23.00, 4.51, 65.40,  ,  ,  , 0
19:49:28, 316, 53, 98324, 0.05, 23.00, 4.46, 65.45,  , 43.087788, -89.423815, -0.1
19:49:29, 316, 53, 98323, 0.05, 23.00, 4.45, 65.55,  ,  ,  , -0.1
19:49:30, 316, 53, 98322, 0.15, 23.00, 4.46, 65.60,  ,  ,  , 0
19:49:31, 316, 53, 98322, 0.10, 23.00, 4.48, 65.70,  , 43.087787, -89.423820, 0
19:49:32, 316, 53, 98319, 0.10, 23.00, 4.51, 65.80,  ,  ,  , 0
19:49:33, 316, 53, 98317, 0.05, 23.00, 4.53, 65.90,  ,  ,  , 0
19:49:34, 317, 54, 98316, 0.05, 23.00, 4.58, 66.05,  , 43.087787, -89.423825, 0
19:49:35, 317, 54, 98313, 0.05, 23.00, 4.61, 66.20,  ,  ,  , 0
19:49:36, 317, 54, 98310, 0.05, 23.00, 4.63, 66.25,  ,  ,  , 0.1
19:49:37, 317, 54, 98308, 0.20, 23.00, 4.63, 66.30,  , 43.087785, -89.423832, 0.1
19:49:39, 316, 53, 98321, 0.10, 23.00, 4.66, 66.40,  ,  ,  , 0
19:49:40, 316, 53, 98328, 0.10, 23.00, 4.68, 66.45,  , 43.087790, -89.423830, 0
19:49:41, 316, 53, 98328, 0.10, 23.00, 4.69, 66.50,  ,  ,  , 0
19:49:42, 315, 52, 98329, 0.10, 23.00, 4.74, 66.65,  ,  ,  , 0
19:49:43, 315, 52, 98330, 0.10, 23.00, 4.70, 66.70,  , 43.087798, -89.423832, -0.1
19:49:44, 316, 53, 98327, 0.10, 23.00, 4.69, 66.70,  ,  ,  , -0.1
19:49:45, 316, 53, 98325, 0.10, 23.00, 4.69, 66.70,  ,  ,  , -0.1
19:49:46, 316, 53, 98324, 0.10, 23.00, 4.69, 66.70,  , 43.087802, -89.423828, -0.1
19:49:47, 316, 53, 98323, 0.10, 23.00, 4.72, 66.70,  ,  ,  , -0.1
19:49:48, 316, 53, 98322, 0.10, 23.00, 4.79, 66.80,  ,  ,  , -0.1
19:49:49, 316, 53, 98322, 0.05, 23.00, 4.84, 66.85,  , 43.087800, -89.423822, -0.1
19:49:50, 316, 53, 98320, 0.10, 23.00, 4.90, 66.95,  ,  ,  , -0.1
19:49:51, 316, 53, 98319, 0.10, 23.00, 4.98, 67.10,  ,  ,  , -0.1
19:49:52, 316, 53, 98318, 0.10, 23.00, 5.02, 67.15, 16.50, 43.087803, -89.423817, 0
