Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
265, 97228, 0.10, 0.00, 11.05, 53.45
265, 97226, 0.00, 0.00, 11.10, 53.35
265, 97225, 0.15, 307.00, 11.32, 52.95
265, 97224, 0.10, 307.00, 11.31, 52.90
265, 97224, 0.05, 327.90, 11.51, 52.70
265, 97223, 0.10, 327.90, 11.20, 52.50
265, 97222, 0.85, 135.00, 11.25, 52.55
265, 97222, 0.10, 135.00, 11.84, 51.40
266, 97219, 0.00, 31.60, 11.04, 52.30
266, 97218, 0.15, 31.60, 11.04, 52.45
266, 97217, 0.15, 10.10, 11.19, 52.95
266, 97216, 0.10, 10.10, 11.22, 53.00
266, 97216, 0.10, 10.10, 11.24, 53.00
266, 97216, 0.10, 10.10, 11.56, 53.10
266, 97214, 0.05, 10.10, 11.92, 53.00
266, 97213, 0.05, 10.10, 12.08, 52.85
266, 97212, 0.05, 10.10, 12.21, 52.65
266, 97212, 0.25, 10.10, 12.88, 51.20
266, 97210, 0.50, 329.20, 13.13, 49.05
267, 97206, 0.15, 303.30, 11.18, 53.10
275, 97112, 3.75, 283.40, 11.04, 52.40
277, 97092, 2.65, 263.50, 10.90, 52.35
278, 97073, 3.80, 241.00, 10.80, 52.40
280, 97055, 4.65, 253.30, 10.73, 52.50
281, 97038, 2.70, 271.40, 10.65, 52.55
282, 97023, 2.75, 274.90, 10.59, 52.75
284, 97007, 2.55, 252.40, 10.57, 52.90
285, 96992, 2.85, 256.80, 10.51, 53.00
286, 96981, 3.70, 264.90, 10.44, 53.15
287, 96971, 3.35, 253.70, 10.35, 53.30
288, 96962, 2.95, 267.80, 10.28, 53.45
289, 96946, 4.65, 270.70, 10.25, 53.60
290, 96931, 5.35, 249.30, 10.26, 53.80
292, 96916, 5.10, 251.30, 10.26, 53.95
292, 96909, 5.30, 261.10, 10.21, 54.10
293, 96903, 5.90, 269.00, 10.16, 54.20
293, 96898, 6.00, 264.20, 10.11, 54.35
294, 96887, 5.35, 258.30, 10.10, 54.45
295, 96876, 5.50, 243.40, 10.06, 54.60
296, 96866, 5.25, 245.20, 10.01, 54.75
297, 96851, 4.30, 258.30, 9.97, 54.80
299, 96836, 3.50, 264.80, 9.98, 54.95
300, 96822, 3.75, 267.50, 9.96, 55.05
302, 96800, 5.20, 272.90, 9.92, 55.20
304, 96779, 4.65, 267.50, 9.89, 55.30
305, 96758, 3.05, 286.80, 9.87, 55.40
307, 96740, 5.35, 275.70, 9.89, 55.55
309, 96721, 4.70, 268.20, 9.87, 55.60
310, 96702, 3.50, 259.60, 9.85, 55.70
314, 96655, 4.25, 261.80, 9.83, 55.85
316, 96632, 3.85, 259.50, 9.83, 55.95
318, 96608, 4.30, 264.40, 9.81, 56.00
320, 96585, 5.20, 258.20, 9.79, 56.05
322, 96562, 4.05, 224.90, 9.79, 56.10
323, 96547, 3.65, 212.40, 9.81, 56.15
325, 96533, 4.20, 225.00, 9.81, 56.20
326, 96520, 6.00, 238.80, 9.81, 56.25
326, 96513, 6.50, 238.50, 9.76, 56.35
327, 96507, 5.30, 236.30, 9.70, 56.40
327, 96502, 4.50, 246.30, 9.64, 56.40
329, 96485, 4.30, 244.70, 9.61, 56.40
330, 96468, 4.65, 257.60, 9.58, 56.45
332, 96452, 4.55, 257.70, 9.56, 56.55
335, 96416, 6.80, 246.90, 9.53, 56.70
336, 96398, 5.45, 243.90, 9.51, 56.80
341, 96348, 4.60, 240.80, 9.49, 57.05
342, 96336, 4.60, 226.20, 9.46, 57.10
343, 96324, 4.75, 231.90, 9.43, 57.15
345, 96296, 6.15, 240.40, 9.42, 57.20
348, 96266, 6.50, 244.50, 9.40, 57.25
