# Radiation correction v2.2. Params: lat=43.0409, lon=-89.4304, utc_time=2026-03-10 20:28
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 970.00, 10.40, 53.9, 4.25, 80.9
40, 967.68, 9.88, 55.5, 4.54, 77.3
60, 965.36, 9.39, 57.4, 4.73, 68.9
80, 963.04, 9.15, 58.3, 5.07, 63.6
100, 960.73, 8.93, 59.1, 5.45, 64.0
120, 958.42, 8.77, 59.5, 5.91, 64.3
140, 956.12, 8.57, 59.9, 6.21, 65.4
160, 953.82, 8.35, 60.4, 7.08, 66.7
180, 951.52, 8.01, 61.3, 8.19, 66.2
200, 949.23, 7.65, 62.5, 8.89, 67.8
220, 946.93, 7.48, 63.2, 9.15, 69.2
240, 944.65, 7.32, 63.9, 9.32, 68.4
260, 942.36, 7.13, 64.6, 9.47, 67.6
280, 940.09, 6.94, 65.2, 9.72, 69.3
300, 937.81, 6.77, 65.7, 9.95, 71.5
320, 935.54, 6.59, 66.2, 10.13, 72.3
340, 933.27, 6.42, 66.7, 10.22, 71.8
360, 931.01, 6.26, 67.2, 10.25, 71.6
380, 928.75, 6.05, 67.9, 10.26, 72.3
400, 926.50, 5.85, 68.5, 10.14, 72.5
420, 924.25, 5.63, 69.4, 9.96, 73.0
440, 922.00, 5.44, 70.4, 9.73, 73.5
460, 919.76, 5.31, 71.1, 9.59, 74.4
480, 917.52, 5.17, 71.8, 9.54, 75.7
500, 915.28, 5.00, 72.4, 9.43, 78.6
520, 913.05, 4.79, 73.2, 9.33, 81.8
540, 910.83, 4.59, 74.2, 9.31, 83.9
560, 908.60, 4.40, 75.5, 9.31, 85.6
580, 906.39, 4.23, 76.8, 9.43, 87.7
600, 904.17, 4.08, 78.0, 9.65, 89.1
620, 901.96, 3.89, 80.1, 9.81, 90.0
640, 899.76, 3.99, 83.2, 9.79, 92.5
660, 897.56, 4.66, 89.1, 9.73, 97.6
680, 895.38, 5.46, 94.5, 9.71, 105.0
700, 893.21, 5.96, 96.7, 9.68, 111.5
720, 891.04, 6.57, 98.2, 9.86, 122.4
740, 888.89, 7.12, 98.8, 10.25, 132.3
760, 886.75, 7.66, 99.1, 10.48, 138.8
780, 884.61, 8.01, 99.1, 10.64, 141.3
800, 882.48, 8.18, 98.9, 10.79, 142.6
820, 880.36, 8.21, 98.6, 10.87, 144.6
840, 878.25, 8.22, 98.4, 10.75, 146.4
860, 876.14, 8.21, 98.1, 10.70, 148.0
880, 874.03, 8.19, 97.9, 10.70, 149.1
900, 871.93, 8.18, 97.7, 10.73, 149.5
920, 869.84, 8.17, 97.5, 10.69, 149.3
940, 867.75, 8.12, 97.2, 10.55, 148.5
960, 865.66, 8.07, 97.1, 10.34, 146.7
980, 863.58, 8.07, 97.0, 10.09, 144.2
1000, 861.52, 8.11, 96.4, 9.86, 139.8
1020, 859.45, 8.15, 95.2, 9.77, 136.2
1040, 857.39, 8.24, 93.2, 9.72, 134.4
1060, 855.33, 8.43, 91.3, 9.63, 136.5
1080, 853.28, 8.56, 91.1, 9.58, 139.7
1100, 851.23, 8.73, 91.3, 9.58, 144.5
1120, 849.19, 9.01, 90.6, 9.67, 150.6
1140, 847.16, 9.15, 89.1, 9.97, 154.1
1160, 845.13, 9.36, 86.3, 10.18, 157.5
1180, 843.11, 9.56, 83.6, 10.37, 160.2
