Hr,Min,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,PAR_umolm-2s-1,Pressure_kPa,AirT_degreesC,RH_%,AccumlatedPrecip_mm
0.00000,0.00000,15.0285,7.53142,-9.30590,1.09138,33.3900,95.6600,19.9900,86.1000,0.00000
0.00000,1.00000,12.1786,7.23159,-6.25345,0.875767,27.8300,95.6600,20.0400,86.0000,0.00000
0.00000,2.00000,7.75894,6.55489,-3.02883,0.900530,19.6300,95.6600,19.9600,86.0000,0.00000
0.00000,3.00000,6.74064,5.89357,-2.93169,0.369165,19.1100,95.6600,19.8900,87.0000,0.00000
0.00000,4.00000,7.66815,5.23887,-3.57724,-0.237910,20.5800,95.6600,19.6500,88.8000,0.00000
0.00000,5.00000,6.23969,4.22362,-2.04878,0.269098,16.8900,95.6700,19.3900,89.7000,0.00000
0.00000,6.00000,6.20478,4.00317,-1.79860,0.123241,17.7000,95.6700,19.3200,90.2000,0.00000
0.00000,7.00000,7.70591,3.86014,-2.03905,0.147684,20.5300,95.6700,19.2600,90.7000,0.00000
0.00000,8.00000,7.16100,3.77703,-1.81273,0.217280,18.4500,95.6700,19.1900,91.1000,0.00000
0.00000,9.00000,6.82737,3.43677,-1.56830,0.206884,17.2500,95.6700,19.1100,91.7000,0.00000
0.00000,10.0000,8.03029,3.44418,-1.34583,0.285132,19.7000,95.6700,19.0500,91.9000,0.00000
0.00000,11.0000,10.9296,3.96606,-1.53797,0.460193,26.3200,95.6700,19.0300,91.8000,0.00000
0.00000,12.0000,11.4659,3.74783,-1.49502,0.296877,26.1600,95.6700,19.0300,92.3000,0.00000
0.00000,13.0000,9.80585,3.32242,-1.04119,0.365683,22.0500,95.6800,18.9700,92.8000,0.00000
0.00000,14.0000,11.1156,3.52628,-0.501415,0.987990,25.6300,95.6700,18.9700,92.5000,0.00000
0.00000,15.0000,16.0711,4.87178,-1.36742,0.746507,35.9700,95.6800,19.1400,92.0000,0.00000
0.00000,16.0000,22.8313,5.91985,-3.37581,0.917212,50.6000,95.6700,19.1700,91.8000,0.00000
0.00000,17.0000,29.4660,7.24736,-6.07439,0.999115,64.3200,95.6600,19.2500,91.2000,0.00000
0.00000,18.0000,30.1107,7.33895,-6.33554,0.642401,64.7800,95.6700,19.2800,91.5000,0.00000
0.00000,19.0000,27.8650,6.67700,-4.92905,0.810399,59.1400,95.6700,19.2100,91.9000,0.00000
0.00000,20.0000,22.0914,6.09504,-3.12590,0.972211,45.7800,95.6700,19.2600,91.7000,0.00000
0.00000,21.0000,16.7689,5.56501,-2.06153,0.802225,34.1300,95.6700,19.2900,91.6000,0.00000
0.00000,22.0000,20.9045,6.44095,-2.87103,0.686528,43.3200,95.6800,19.3000,91.8000,0.00000
0.00000,23.0000,33.4429,7.99884,-5.80137,0.412428,69.7700,95.6700,19.2600,92.0000,0.00000
0.00000,24.0000,41.9740,9.27458,-7.84247,0.567100,86.1000,95.6600,19.2300,92.4000,0.00000
0.00000,25.0000,43.9645,9.12729,-6.97186,0.436711,88.6000,95.6500,19.1700,92.9000,0.00000
0.00000,26.0000,47.2865,9.73718,-6.61451,0.629793,95.3000,95.6400,19.1400,92.9000,0.00000
0.00000,27.0000,53.8995,10.8084,-8.54328,0.603361,108.900,95.6400,19.1600,93.1000,0.00000
0.00000,28.0000,58.3110,11.4892,-10.9917,0.646614,117.200,95.6400,19.1400,93.3000,0.00000
0.00000,29.0000,57.8364,11.2207,-11.0420,0.651538,114.500,95.6400,19.1100,93.5000,0.00000
0.00000,30.0000,46.7122,9.32263,-6.25396,0.662891,91.3000,95.6400,19.1000,93.6000,0.00000
0.00000,31.0000,40.8811,8.29398,-4.22301,0.638695,80.1000,95.6400,19.0900,93.6000,0.00000
0.00000,32.0000,32.2924,7.10401,-2.38238,0.726013,62.7000,95.6400,19.0800,93.7000,0.00000
0.00000,33.0000,27.6168,6.28108,-2.06175,0.689107,53.7200,95.6500,19.0700,93.8000,0.00000
0.00000,34.0000,25.5267,5.88045,-2.14819,0.595770,49.8800,95.6500,19.0800,93.8000,0.00000
0.00000,35.0000,27.3630,5.91161,-2.84065,0.461488,53.8600,95.6500,19.1000,94.1000,0.00000
0.00000,36.0000,26.8424,5.90646,-2.75053,0.674809,52.3300,95.6500,19.0700,94.1000,0.00000
0.00000,37.0000,24.8122,5.75501,-2.22649,0.535286,48.1200,95.6500,19.0900,94.1000,0.00000
0.00000,38.0000,26.2953,5.83745,-2.22150,0.464096,50.7600,95.6600,19.0700,94.3000,0.00000
0.00000,39.0000,28.0329,6.15328,-2.24846,0.508624,53.3800,95.6500,19.0400,94.5000,0.00000
0.00000,40.0000,30.1008,6.36378,-2.56706,0.372531,57.1100,95.6500,19.0300,94.6000,0.00000
0.00000,41.0000,33.9441,6.80154,-3.67705,0.415623,64.8100,95.6500,19.0100,94.9000,0.00000
0.00000,42.0000,39.5336,7.73926,-8.02040,0.400617,75.1200,95.6400,18.9800,94.9000,0.00000
0.00000,43.0000,38.3284,7.45489,-9.66954,0.432364,73.4600,95.6400,18.9500,95.0000,0.00000
0.00000,44.0000,35.0596,6.72928,-9.74038,0.321733,67.6400,95.6400,18.9500,95.2000,0.00000
0.00000,45.0000,29.2698,5.64688,-7.20813,0.279036,56.8300,95.6300,18.9400,95.4000,0.00000
0.00000,46.0000,22.9814,4.76273,-3.94951,0.396967,43.7100,95.6300,18.9100,95.6000,0.00000
0.00000,47.0000,19.6952,4.34356,-2.47541,0.357444,36.7100,95.6300,18.8700,95.8000,0.00000
0.00000,48.0000,24.6327,5.33637,-2.49292,0.357523,42.4800,95.6300,18.8700,96.0000,0.00000
0.00000,49.0000,28.1887,6.20790,-2.24436,0.415691,47.0300,95.6300,18.8600,96.1000,0.00000
0.00000,50.0000,28.0988,5.93558,-2.41413,0.392361,47.3500,95.6300,18.8400,96.1000,0.00000
0.00000,51.0000,24.2864,5.00065,-2.44410,0.388074,44.3000,95.6300,18.8300,96.1000,0.00000
0.00000,52.0000,23.0466,4.77605,-2.60097,0.372996,43.9700,95.6200,18.8200,96.2000,0.00000
0.00000,53.0000,24.9500,4.81231,-3.12878,0.308869,48.0500,95.6200,18.8000,96.3000,0.00000
0.00000,54.0000,25.2453,4.81738,-2.90611,0.285854,48.5300,95.6100,18.7800,96.5000,0.00000
0.00000,55.0000,25.0141,4.87784,-2.44060,0.360693,47.4100,95.6100,18.7500,96.6000,0.00000
0.00000,56.0000,27.2647,5.28187,-2.57955,0.337604,51.2900,95.6100,18.7600,96.7000,0.00000
0.00000,57.0000,30.0568,5.96880,-3.22788,0.437367,56.5400,95.6100,18.7500,96.8000,0.00000
