Hr,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,NetRad_Wm-2,PAR_umolm-2s-1,AirP_kPa,AirTemp_degreesC,RH_%,AccumulatedPrecip_mm,WindSpeed_ms-1,WindDirection_degrees,CO2_ppm,H2O_gkg-1,CO2flux_umolm-2s-1,HLatentHeatFlux_Wm-2,SensibleHeatFlux_Wm-2,u*_ms-1,tke_m2s2,MO_Length_m,Rho_kgm-3,Cp_JK-1kg-1
0.00000,21.9228,6.31900,-4.27446,0.562771,10.7666,46.9877,95.6640,19.2987,91.0733,0.00000,2.53575,193.305,-9999.00,-9999.00,-9999.00,-9999.00,-17.1564,0.239278,0.670660,67.3178,1.14042,1005.52
0.500000,29.3771,6.05856,-3.77742,0.449559,19.0916,55.7170,95.6330,18.9327,95.2733,0.00000,2.01880,178.409,-9999.00,-9999.00,-9999.00,-9999.00,-11.9881,0.239968,0.340407,97.1759,1.14155,1005.51
1.00000,24.1803,5.13164,-11.7364,0.196800,7.11544,46.0379,95.5796,18.8490,96.6034,0.00000,2.30707,196.512,-9999.00,-9999.00,-9999.00,-9999.00,-11.5178,0.298689,0.634129,195.043,1.14192,1005.51
1.50000,1.70494,1.22224,-5.33162,-0.107176,-4.74174,5.31864,95.5732,18.7286,96.0178,0.00000,2.25004,222.803,-9999.00,-9999.00,-9999.00,-9999.00,-14.6876,0.282779,0.510673,129.787,1.14264,1005.51
2.00000,-0.272285,0.871875,-4.28293,-0.135865,-5.29122,0.383655,95.5686,18.3924,96.1966,0.00000,2.07510,232.605,-9999.00,-9999.00,-9999.00,-9999.00,-7.71272,0.318835,0.479756,354.267,1.14385,1005.50
2.50000,-1.26750,1.06330,-25.0972,-0.828874,-26.5991,0.159433,95.5730,18.0543,96.6333,0.00000,1.99250,233.373,-9999.00,-9999.00,-9999.00,-9999.00,-15.0687,0.260327,0.348242,98.6994,1.14523,1005.49
3.00000,-0.458196,1.03949,-9.99715,-0.376317,-11.1185,0.163067,95.5640,17.8537,96.7567,0.00000,1.78979,241.062,-9999.00,-9999.00,-9999.00,-9999.00,-13.2798,0.236864,0.314871,84.3610,1.14592,1005.49
3.50000,-0.0963843,0.837076,-3.98004,-0.138858,-4.77464,0.159500,95.5447,17.8480,96.9033,0.00000,2.20604,236.468,396.387,23.8637,6.93854,15.8815,-13.4310,0.333148,0.502952,232.984,1.13580,1018.38
4.00000,-0.127901,0.906809,-5.97073,-0.239550,-6.76589,0.361963,95.5452,17.9074,96.6815,0.00000,2.51923,244.804,394.383,24.0036,9.23815,13.1290,-20.7759,0.396672,0.758175,254.255,1.13551,1018.46
4.50000,-1.54382,1.31302,-35.3144,-1.17222,-36.9990,0.423267,95.5423,17.8950,96.0933,0.00000,2.69491,245.546,391.389,23.7921,5.61243,-0.809948,-27.0595,0.345582,0.716084,129.078,1.13562,1018.34
5.00000,-2.26415,1.51642,-48.8130,-1.57924,-51.0143,0.415667,95.5217,17.6940,96.3000,0.00000,2.42137,249.691,390.831,23.4216,6.01558,-11.2472,-35.1025,0.332197,0.517958,88.3769,1.13662,1018.14
5.50000,-2.54472,1.50373,-57.5302,-1.72376,-59.8548,0.402667,95.5007,17.3753,97.3033,0.00000,2.49896,247.804,392.593,22.8922,5.01187,-10.2488,-31.6686,0.313848,0.512891,82.5996,1.13802,1017.84
6.00000,-2.55878,1.48761,-59.8653,-1.75222,-62.1595,0.412633,95.4707,17.2287,97.7933,0.00000,2.37910,248.562,393.382,22.6374,5.76283,-17.5529,-34.6686,0.364052,0.547266,117.756,1.13867,1017.70
6.50000,-2.70343,1.54818,-62.6195,-2.08629,-64.7848,0.401433,95.4407,16.9790,98.0633,0.00000,2.13655,247.115,393.874,22.1478,4.61871,-21.1383,-31.1639,0.311883,0.373009,82.3600,1.13981,1017.43
7.00000,-1.60556,1.47663,-30.8417,-1.13962,-32.7843,0.392800,95.4283,16.9350,97.6133,0.00000,2.24046,262.585,392.870,22.3321,4.97173,-3.79896,-30.3177,0.318091,0.577623,89.8176,1.13977,1017.53
7.50000,-2.16314,1.13450,-24.0411,-1.30389,-26.0349,0.403700,95.4060,17.2567,95.3533,0.00000,2.32791,295.333,390.023,22.8078,6.62541,39.6153,-15.4886,0.330996,0.760396,198.106,1.13854,1017.80
8.00000,-4.23145,1.43834,-64.1471,-3.48016,-66.3367,0.321458,95.3775,16.6321,94.1500,0.00000,2.21761,292.184,390.187,21.6904,3.28043,9.42650,-18.6381,0.212868,0.342458,43.7805,1.14184,1017.17
8.50000,-3.49235,1.73963,-64.4053,-4.64244,-64.9948,0.279767,95.3817,15.9140,95.8100,0.00000,1.62068,272.054,394.191,20.8994,2.28405,-1.14323,-9.66479,0.130003,0.210548,19.2289,1.14512,1016.73
9.00000,-2.78152,1.88227,-47.9333,-3.72087,-48.8763,0.375167,95.3977,15.5993,94.9400,0.00000,1.96427,256.340,394.662,20.4734,4.47203,-7.47076,-18.9468,0.165114,0.415532,20.0941,1.14650,1016.49
9.50000,-2.58733,1.91228,-23.4170,-2.87552,-25.0411,0.362267,95.4167,15.7437,88.5400,0.00000,2.40200,277.133,392.669,19.5505,6.82515,31.9391,-44.5206,0.305114,0.917597,53.9534,1.14630,1016.00
10.0000,0.192293,1.65041,-34.7547,-3.87813,-32.3347,4.90640,95.4400,15.3903,84.9933,0.00000,3.40112,298.856,391.929,18.6447,3.00055,64.3910,-40.5597,0.467290,1.34509,212.710,1.14802,1015.51
10.5000,19.5573,4.84177,-58.2916,-3.89621,-39.6799,41.3803,95.4943,14.4477,87.1567,0.00000,3.39075,303.109,393.105,18.0864,2.77189,30.8939,-42.5647,0.388597,1.27568,116.553,1.15173,1015.18
11.0000,94.4960,16.3810,-58.2102,-3.38694,23.2917,153.207,95.5437,14.0170,87.6933,0.00000,2.79127,305.150,393.481,17.7980,0.467786,38.1729,-14.0863,0.297949,0.885990,158.740,1.15074,1015.03
