,Hour,AirPressure_mean_x,Ts_mean,T_mean,CO2_mean,H2O_mean,SH,WS,WD,C_flux,Q_flux,B,H,Le,ustar,TKE,L,Bowen,var_wp,var_up,var_vp,var_cp,var_qp,var_tp,AirPressure_mean_y,AirT_mean,PAR,Rnet
0,0.0 h,95.58653777777776 kPa,20.976914999999998 deg_C,294.1251509751626 K,17401.179290665943 umol / m3,11.798422485555555 g / m3,9.832018737962963 g / kg,2.5357538326284756 m / s,184.69545805124756 deg,-0.30794026668712016,0.021633441039194096,-17.908360134593423 W / m2,-22.58466225012483 W / m2,64.90032311758229 W / m2,0.23870928279750186 m / s,0.39054329508023855 m2 / s2,68.66147983518769 m,-0.34798998164011247,0.10109416814385518 m2 / s2,0.6044379004722762 m2 / s2,0.6368056091150939 m2 / s2,145770.91230693326,0.519339604813017,0.07805191343685759 deg_C2,95.66399999999999 kPa,19.29866666666667 deg_C,46.98766666666667 umol / (m2 s),10.766585266666668 W / m2
1,0.5 h,95.5558072222222 kPa,20.659533333333332 deg_C,293.8076083326707 K,17070.44492240478 umol / m3,12.889000972222224 g / m3,10.740834143518521 g / kg,2.018806177678301 m / s,199.59133244356076 deg,0.2756197234882771,0.018203915067144236,-12.532182164995934 W / m2,-16.46290690659007 W / m2,54.611745201432704 W / m2,0.23913476203859826 m / s,0.09057279148210114 m2 / s2,98.53564587858521 m,-0.3014535947508628,0.10467496945988825 m2 / s2,0.24602418530963466 m2 / s2,0.33115077227073514 m2 / s2,25928.005539879334,0.19815354703990218,0.019623939107728205 deg_C2,95.63300000000002 kPa,18.932666666666666 deg_C,55.717000000000006 umol / (m2 s),19.0915815 W / m2
2,1.0 h,95.50285777777778 kPa,20.645121666666668 deg_C,293.7929691649483 K,16335.459622384724 umol / m3,14.412971222222223 g / m3,12.010809351851853 g / kg,2.3070801155063996 m / s,181.4875551540896 deg,-3.305055895214836,0.02432213114192464,-12.024670939501975 W / m2,-17.276224727765896 W / m2,72.96639342577392 W / m2,0.29780083085150766 m / s,0.32656010643399214 m2 / s2,198.32378617364446 m,-0.2367696129224254,0.1447093936424126 m2 / s2,0.5569478243744257 m2 / s2,0.5674403274215039 m2 / s2,82230.85271436354,0.30140250676468755,0.007343026476470921 deg_C2,95.57965517241381 kPa,18.84896551724138 deg_C,46.03793103448276 umol / (m2 s),7.115431431448275 W / m2
3,1.5 h,95.4950288888889 kPa,20.502041111111115 deg_C,293.64976406581815 K,15893.823433446221 umol / m3,15.254340072222222 g / m3,12.711950060185185 g / kg,2.250033715526739 m / s,155.19717270438446 deg,4.618694394149959,0.006316984895522083,-15.308646498612559 W / m2,-16.671924066242003 W / m2,18.95095468656625 W / m2,0.28194013221309056 m / s,0.20381326528704652 m2 / s2,132.12726663306952 m,-0.8797405904864635,0.14743220936652363 m2 / s2,0.39513497806811426 m2 / s2,0.47933143368916403 m2 / s2,2153.569530632485,0.0035727349849069604,0.014925429722638902 deg_C2,95.57321428571429 kPa,18.728571428571428 deg_C,5.318642857142857 umol / (m2 s),-4.741736687285715 W / m2
4,2.0 h,95.49335500000001 kPa,20.150599444444445 deg_C,293.29825858780833 K,15702.490388561222 umol / m3,15.70061785 g / m3,13.083848208333334 g / kg,2.075101450779012 m / s,145.39465028988536 deg,6.21945686305665,0.004171121954955812,-8.056030851015237 W / m2,-8.95512912967647 W / m2,12.513365864867437 W / m2,0.31778688907614244 m / s,0.17595474993529264 m2 / s2,359.1080844009651 m,-0.7156451131041343,0.15294150688885588 m2 / s2,0.4334618369138102 m2 / s2,0.37500564166483785 m2 / s2,5020.646680545686,0.02283046943970289,0.010927031056972307 deg_C2,95.56862068965519 kPa,18.392413793103447 deg_C,0.3836551724137932 umol / (m2 s),-5.291218275517242 W / m2
5,2.5 h,95.49500055555555 kPa,19.813185 deg_C,292.96084873522034 K,15691.11783058911 umol / m3,15.687866600000001 g / m3,13.073222166666667 g / kg,1.9925077839358316 m / s,144.6264912477306 deg,5.202322303501152,0.00025249687075748776,-15.6694687847531 W / m2,-15.72383265649755 W / m2,0.7574906122724633 W / m2,0.259721910973123 m / s,0.09695721854301236 m2 / s2,100.67229572814095 m,-20.757792112203514,0.10506826416155075 m2 / s2,0.35635402064012084 m2 / s2,0.23640412205738637 m2 / s2,3603.3478493928224,0.002970355754384977,0.02328679948608254 deg_C2,95.573 kPa,18.054333333333332 deg_C,0.15943333333333334 umol / (m2 s),-26.599095499999997 W / m2
6,3.0 h,95.48928722222223 kPa,19.625182222222225 deg_C,292.772826945463 K,15621.656949483222 umol / m3,15.825687711111112 g / m3,13.188073092592594 g / kg,1.7897896159352726 m / s,136.93836735605709 deg,4.052363612345116,0.005555806353918424,-13.787942274981477 W / m2,-14.983368172729682 W / m2,16.66741906175527 W / m2,0.23623767722225314 m / s,0.07522018892545589 m2 / s2,86.04144452219339 m,-0.8989615079103771,0.10658497777209897 m2 / s2,0.28980765162562594 m2 / s2,0.23471588234176394 m2 / s2,11046.337052910823,0.08400259418118688,0.009434457598261638 deg_C2,95.56400000000004 kPa,17.853666666666665 deg_C,0.16306666666666667 umol / (m2 s),-11.118527046666667 W / m2
7,3.5 h,95.47103666666669 kPa,19.590146666666666 deg_C,292.73767408411527 K,15319.72881635117 umol / m3,16.61588942222222 g / m3,13.846574518518517 g / kg,2.206031456474089 m / s,141.5321953408337 deg,6.633951350506962,0.006158410815884787,-12.954888541254402 W / m2,-14.279815900584584 W / m2,18.475232447654363 W / m2,0.3325930774875436 m / s,0.20877772284985335 m2 / s2,255.5132617006911 m,-0.7729167111181633,0.15163187543408796 m2 / s2,0.5422363563822703 m2 / s2,0.3170850893204023 m2 / s2,5551.50203353855,0.02061318584688328,0.005159776254236358 deg_C2,95.54466666666667 kPa,17.848 deg_C,0.15949999999999998 umol / (m2 s),-4.774641244933331 W / m2
8,4.0 h,95.47141000000002 kPa,19.592137222222224 deg_C,292.7396509417097 K,15237.062928303225 umol / m3,16.707827638888894 g / m3,13.92318969907408 g / kg,2.519230189425045 m / s,133.19608354347696 deg,8.780529785391955,0.005042010991149504,-20.725282342023892 W / m2,-21.81003352540431 W / m2,15.126032973448511 W / m2,0.3956993896928342 m / s,0.4736546801797029 m2 / s2,268.9714152402356 m,-1.4418872128395173,0.20336958619220125 m2 / s2,0.7980166558463978 m2 / s2,0.5187673744205109 m2 / s2,4770.882712702568,0.0009496364536456467,0.00863100622596317 deg_C2,95.54518518518522 kPa,17.907407407407412 deg_C,0.36196296296296304 umol / (m2 s),-6.765887161481482 W / m2
9,4.5 h,95.4667938888889 kPa,19.490178888888888 deg_C,292.6377148257266 K,15124.732382346558 umol / m3,16.56429476666667 g / m3,13.803578972222226 g / kg,2.694903887611426 m / s,132.45406577418646 deg,5.170176188230648,-0.0004157303968286548,-28.07007319669942 W / m2,-27.980663037019763 W / m2,-1.2471911904859645 W / m2,0.3446699115220008 m / s,0.40912264649087815 m2 / s2,131.19756102061035 m,22.434942814274674,0.20493697360618848 m2 / s2,0.7154472006344992 m2 / s2,0.5141803505922327 m2 / s2,1584.670952729095,0.007688208195926004,0.02246819400954375 deg_C2,95.54233333333335 kPa,17.895 deg_C,0.4232666666666666 umol / (m2 s),-36.9990471 W / m2
10,5.0 h,95.44632444444449 kPa,19.203595 deg_C,292.35116898700227 K,15119.979950740057 umol / m3,16.324492911111108 g / m3,13.60374409259259 g / kg,2.421365752426463 m / s,128.30875201362704 deg,5.605153839796655,-0.0044045978980730765,-37.04639579164376 W / m2,-36.10003683712833 W / m2,-13.21379369421923 W / m2,0.3317735857159239 m / s,0.1973313808734216 m2 / s2,88.57541257573295 m,2.7319964025865917,0.19812532190806564 m2 / s2,0.4546348408476917 m2 / s2,0.38563749824551896 m2 / s2,1705.398081540259,0.008886721748423468,0.03632252167064837 deg_C2,95.52166666666672 kPa,17.694000000000003 deg_C,0.41566666666666663 umol / (m2 s),-51.01428233333332 W / m2
11,5.5 h,95.42896666666668 kPa,18.863708888888894 deg_C,292.01133680371856 K,15211.902100186275 umol / m3,15.98019141111111 g / m3,13.316826175925925 g / kg,2.4989703918819615 m / s,130.1958578684339 deg,4.680616093742486,-0.003890616739003907,-33.42586369935953 W / m2,-32.59090891557519 W / m2,-11.671850217011722 W / m2,0.31323194717583 m / s,0.20205604026196228 m2 / s2,82.51713048943535 m,2.7922658627056354,0.1767942167126794 m2 / s2,0.49839603257502574 m2 / s2,0.35278503394326216 m2 / s2,2245.215999779939,0.00557123646259208,0.03098933243945652 deg_C2,95.50066666666662 kPa,17.375333333333334 deg_C,0.4026666666666666 umol / (m2 s),-59.854833333333325 W / m2
12,6.0 h,95.39578388888891 kPa,18.693666666666665 deg_C,291.84132063083376 K,15253.364153140721 umol / m3,15.813910272222223 g / m3,13.178258560185187 g / kg,2.379105170430821 m / s,129.4375145992209 deg,5.363069793872775,-0.006798221620331932,-36.91703375384732 W / m2,-35.45893514990978 W / m2,-20.394664860995796 W / m2,0.3634233679475276 m / s,0.22850652724481868 m2 / s2,116.62386267361428 m,1.738637795305181,0.18936735630886614 m2 / s2,0.5201992704593615 m2 / s2,0.38800229105995787 m2 / s2,1954.1401846755987,0.012695164287126052,0.03304190232790709 deg_C2,95.47066666666665 kPa,17.228666666666665 deg_C,0.4126333333333333 umol / (m2 s),-62.159481 W / m2
13,6.5 h,95.37004277777778 kPa,18.41297777777778 deg_C,291.5606816980342 K,15292.392468886223 umol / m3,15.492068949999998 g / m3,12.910057458333332 g / kg,2.136547712082856 m / s,130.88553555224956 deg,4.281727985044419,-0.008174425885646888,-33.42927497314625 W / m2,-31.67769080368517 W / m2,-24.523277656940664 W / m2,0.3110267795476827 m / s,0.10826917668354423 m2 / s2,80.65369007062547 m,1.2917396787994055,0.12601232320597217 m2 / s2,0.3727828251941595 m2 / s2,0.24837917184736485 m2 / s2,1905.2227137040734,0.005503934132840493,0.03675229685599817 deg_C2,95.44066666666664 kPa,16.978999999999996 deg_C,0.4014333333333333 umol / (m2 s),-64.78481866666667 W / m2
14,7.0 h,95.36002444444442 kPa,18.35728111111111 deg_C,291.5049667036455 K,15251.17944703428 umol / m3,15.61871405 g / m3,13.015595041666666 g / kg,2.240463003898953 m / s,115.41511022968746 deg,4.6471412692209935,-0.0014847096479841794,-31.565180396557288 W / m2,-31.247103384346662 W / m2,-4.454128943952538 W / m2,0.3176529700028094 m / s,0.2641509622526555 m2 / s2,90.9756852960336 m,7.015311810128778,0.1572207816904926 m2 / s2,0.46450200641707606 m2 / s2,0.5364899219411788 m2 / s2,5006.999584726663,0.050243763703976575,0.03472901481069936 deg_C2,95.42833333333333 kPa,16.935 deg_C,0.39280000000000004 umol / (m2 s),-32.78427716666667 W / m2
